"carat","cut","color","clarity","depth","table","price","x","y","z"
2,"Premium","G","VS2",92.30,59,2014,60.38,60.42,30.99
0.5,"Fair","D","SI1",65.7,56,1323,5.01,4.97,3.28
1.74,"Very Good","H","SI2",62.1,59,10086,7.65,7.78,4.79
0.51,"Ideal","D","VS2",61.2,55,1882,5.18,5.16,3.16
0.7,"Ideal","H","SI1",62.5,56,2294,5.64,5.69,3.54
0.71,"Ideal","H","IF",62,54,3190,5.71,5.75,3.55
0.32,"Very Good","E","SI1",63.3,55,672,4.36,4.33,2.75
0.9,"Fair","G","I1",65.1,58,1939,6.05,5.99,3.92
0.32,"Ideal","G","VVS2",61.6,56,708,4.42,4.44,2.73
1.52,"Premium","G","VS2",62.6,55,12958,7.39,7.28,4.59
0.7,"Premium","E","SI1",59.7,60,2394,5.81,5.79,3.46
2.12,"Ideal","D","SI2",62.9,55,12707,8.17,8.14,5.13
0.4,"Premium","F","SI1",61.2,58,945,4.74,4.71,2.89
0.33,"Premium","E","SI1",60.2,58,743,4.55,4.49,2.72
1.02,"Ideal","I","SI2",60.7,57,3856,6.57,6.54,3.98
0.54,"Ideal","G","VVS2",61.8,56,1985,5.23,5.25,3.24
1,"Fair","G","VS2",67.6,57,5484,6.2,6.13,4.17
0.58,"Ideal","D","VVS1",61.6,60,3154,5.34,5.35,3.29
1.16,"Ideal","G","VS2",60.7,58,7128,6.86,6.81,4.15
0.72,"Very Good","E","SI2",63.5,59,2376,5.66,5.61,3.58
0.52,"Premium","D","VS2",61.2,58,1919,5.2,5.16,3.17
0.4,"Ideal","D","VS2",61.6,57,982,4.71,4.77,2.92
0.33,"Ideal","G","VVS1",61.5,56,868,4.45,4.46,2.74
0.75,"Good","E","SI2",62.3,58,2702,5.78,5.81,3.61
0.42,"Ideal","E","SI2",62.9,56,898,4.8,4.77,3.01
0.44,"Very Good","H","VVS1",63.1,56,1016,4.83,4.87,3.06
0.31,"Premium","H","VS1",62.6,60,698,4.32,4.3,2.7
0.3,"Ideal","E","VS1",62.5,56,778,4.3,4.28,2.68
1.35,"Premium","J","VS2",60.5,56,6254,7.19,7.12,4.33
1.08,"Premium","G","SI2",60.7,60,4318,6.64,6.61,4.02
0.7,"Ideal","I","SI1",61.8,57,2436,5.67,5.72,3.52
0.31,"Ideal","I","SI1",62.5,56,537,4.35,4.29,2.7
0.4,"Ideal","E","VS2",62.4,56,975,4.74,4.71,2.95
0.61,"Premium","F","SI1",60.4,56,1359,5.47,5.43,3.29
0.7,"Very Good","D","VS2",63,56,2960,5.61,5.69,3.56
1.51,"Good","E","VS2",62.6,60,14709,7.22,7.28,4.54
0.57,"Premium","J","VS2",60.2,62,1176,5.4,5.33,3.23
1.14,"Good","I","VS1",63.3,56,5056,6.6,6.68,4.2
1.5,"Good","H","SI2",60.8,64,6846,7.27,7.2,4.4
1.07,"Very Good","H","VS2",61.5,57,5254,6.57,6.63,4.06
1.01,"Good","F","SI1",64.2,58,4276,6.33,6.31,4.06
1.24,"Ideal","G","VVS2",61.4,58,10395,6.88,6.92,4.24
1.23,"Ideal","F","VS2",62.4,54,10342,6.84,6.87,4.28
1.12,"Ideal","D","VS2",62,55,8430,6.66,6.63,4.12
1.02,"Premium","G","SI2",62.5,59,4370,6.42,6.37,4
1.02,"Premium","F","SI2",60.2,61,4238,6.52,6.48,3.91
1.01,"Good","G","SI1",59.8,61,5277,6.45,6.49,3.87
1.5,"Ideal","F","VS2",60.2,57,13653,7.43,7.39,4.46
1.04,"Ideal","H","VS2",60.7,56,5805,6.56,6.61,4
0.5,"Premium","D","VS2",61.2,60,1752,5.08,5.12,3.12
0.71,"Very Good","E","VS1",62.1,60,3192,5.65,5.71,3.53
2.01,"Premium","F","SI2",62,60,11903,7.88,7.82,4.87
0.51,"Ideal","I","VS1",62,57,1376,5.1,5.13,3.17
1,"Premium","E","SI2",59.1,61,4077,6.44,6.39,3.79
